source_file,rank,title,year,rating,votes,error_reason
data/imdb_movie_dataset.csv,748,Rules Don't Apply,2016,5.7,3731,Missing Metascore
data/imdb_movie_dataset.csv,755,Lída Baarová,2016,5,353,Missing Revenue
data/imdb_movie_dataset.csv,756,The Road,2009,7.3,187302,Missing Metascore
data/imdb_movie_dataset.csv,757,Lavender,2016,5.2,2083,Missing Revenue
data/imdb_movie_dataset.csv,758,Deuces,2016,6.6,256,Missing Revenue
data/imdb_movie_dataset.csv,759,Conan the Barbarian,2011,5.2,84893,Missing Metascore
data/imdb_movie_dataset.csv,767,Ender's Game,2013,6.7,194236,Missing Metascore
data/imdb_movie_dataset.csv,772,The Assignment,2016,4.5,2043,Missing Revenue
data/imdb_movie_dataset.csv,778,Final Girl,2015,4.7,9026,Missing Revenue
data/imdb_movie_dataset.csv,779,Chalk It Up,2016,4.8,499,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,780,The Man Who Knew Infinity,2015,7.2,29912,Missing Metascore
data/imdb_movie_dataset.csv,784,Tramps,2016,6.5,1031,Missing Revenue
data/imdb_movie_dataset.csv,787,The Secret Scripture,2016,6.8,378,Missing Revenue
data/imdb_movie_dataset.csv,801,Yoga Hosers,2016,4.3,7091,Missing Revenue
data/imdb_movie_dataset.csv,810,USS Indianapolis: Men of Courage,2016,5.2,4964,Missing Revenue
data/imdb_movie_dataset.csv,817,I.T.,2016,5.4,8755,Missing Revenue
data/imdb_movie_dataset.csv,820,Wolves at the Door,2016,4.6,564,Missing Revenue
data/imdb_movie_dataset.csv,821,Suite Française,2014,6.9,13711,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,825,Man Down,2015,5.8,4779,Missing Revenue
data/imdb_movie_dataset.csv,826,Crawlspace,2016,5.3,1427,Missing Revenue
data/imdb_movie_dataset.csv,827,Shut In,2016,4.6,5715,Missing Metascore
data/imdb_movie_dataset.csv,828,The Warriors Gate,2016,5.3,1391,Missing Revenue
data/imdb_movie_dataset.csv,829,Grindhouse,2007,7.6,160350,Missing Metascore
data/imdb_movie_dataset.csv,839,Exposed,2016,4.2,8409,Missing Revenue
data/imdb_movie_dataset.csv,840,Maudie,2016,7.8,346,Missing Revenue
data/imdb_movie_dataset.csv,849,Mean Dreams,2016,6.3,1066,Missing Revenue
data/imdb_movie_dataset.csv,862,Koe no katachi,2016,8.4,2421,Missing Revenue
data/imdb_movie_dataset.csv,865,The 9th Life of Louis Drax,2016,6.3,6175,Missing Revenue
data/imdb_movie_dataset.csv,891,The Intent,2016,3.5,202,Missing Revenue
data/imdb_movie_dataset.csv,892,This Is 40,2012,6.2,108156,Missing Metascore
data/imdb_movie_dataset.csv,896,Planet Terror,2007,7.1,174553,Missing Revenue
data/imdb_movie_dataset.csv,897,Concussion,2015,7.1,61274,Missing Metascore
data/imdb_movie_dataset.csv,906,In Dubious Battle,2016,6.2,1455,Missing Revenue
data/imdb_movie_dataset.csv,912,I Am the Pretty Thing That Lives in the House,2016,4.7,4204,Missing Revenue
data/imdb_movie_dataset.csv,918,The Girl Next Door,2007,6.7,19351,Missing Revenue
